qid,bm25,baseline,decomposition,yesno,iterative,iterative_pool,iterative_pool_rerank,steps
2hop__231890_595414,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__525242_52835,0.5,0.0,0.5,0.5,0.5,0.5,0.5,3
2hop__169443_83769,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2
2hop__21104_16335,1.0,0.5,0.5,0.5,0.5,1.0,1.0,2
2hop__499003_853511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__82910_75184,1.0,1.0,0.5,0.0,0.5,0.5,0.5,3
2hop__88372_83837,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2
2hop__669456_108549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__16267_25719,0.5,0.0,0.0,0.5,0.5,0.5,0.5,3
2hop__44590_510545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__88834_356793,0.5,0.5,0.5,0.0,0.0,0.5,0.5,2
2hop__859431_18803,0.5,1.0,0.5,1.0,1.0,1.0,1.0,3
2hop__846388_19320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__75714_148696,0.5,0.0,0.5,1.0,1.0,1.0,1.0,3
2hop__35137_22901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__593688_292889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__822113_91104,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2
2hop__776377_857193,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__458672_20057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__846415_88165,0.0,0.5,0.0,0.5,0.5,0.5,0.0,2
2hop__75781_512508,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__620853_22458,0.5,0.5,0.0,0.5,0.5,0.5,0.5,3
2hop__142621_225454,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__95673_121319,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__511176_22458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__207597_63853,0.5,0.0,0.5,0.0,0.5,0.5,0.5,3
2hop__77601_814677,0.0,0.5,0.5,0.5,0.0,0.5,0.5,3
2hop__279729_20057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__40485_40502,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3
2hop__126299_396277,0.5,0.0,0.0,0.5,0.5,0.5,0.5,2
2hop__91626_96912,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__646573_83769,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__779424_75487,1.0,0.5,0.5,0.5,0.5,1.0,1.0,3
2hop__203985_524737,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__215898_67465,0.5,1.0,0.5,0.0,1.0,1.0,1.0,3
2hop__158010_58067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__85931_108632,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
2hop__435184_84856,0.5,0.0,0.5,0.0,0.5,0.5,0.5,2
2hop__84937_148696,0.5,0.5,1.0,0.0,1.0,1.0,1.0,2
2hop__46213_494136,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__96410_47902,0.5,0.0,0.5,0.0,0.5,1.0,1.0,3
2hop__57638_90991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__475808_71302,0.0,0.0,0.0,0.0,0.5,0.5,0.5,3
2hop__107548_124896,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__2299_38663,0.5,0.0,0.5,0.5,0.0,0.5,0.5,3
2hop__635187_861533,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__442175_56873,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3
